tempo_arduino_ms,valor_ADC
1,350
2,353
3,355
4,355
5,352
6,352
7,352
8,355
9,351
10,347
11,343
12,338
13,333
14,333
15,333
16,343
17,348
18,352
19,354
20,355
21,354
22,354
23,354
24,357
25,354
26,350
27,345
28,340
29,335
30,335
31,339
32,342
33,348
34,355
35,359
36,361
37,360
38,360
39,359
40,359
41,357
43,351
44,345
45,339
46,339
47,339
48,328
49,335
50,341
51,347
52,351
53,354
54,355
55,354
56,355
57,359
58,358
59,354
60,350
61,344
62,338
63,338
64,338
65,338
66,338
67,345
68,350
69,353
70,354
71,353
72,354
73,356
74,358
75,354
76,350
77,345
78,340
79,340
80,331
81,333
82,340
83,345
84,349
86,352
87,354
88,353
89,353
90,354
91,354
92,355
93,351
94,347
95,347
96,335
97,335
98,332
99,332
100,344
101,348
102,351
103,354
104,353
105,352
106,352
107,357
108,356
109,352
110,348
111,348
112,348
113,332
114,332
115,332
116,343
117,348
118,352
119,353
120,354
121,354
122,351
123,355
124,355
125,352
126,348
128,343
129,338
130,332
131,332
132,332
133,342
134,347
135,352
136,355
137,356
138,355
139,354
140,354
141,357
142,353
143,349
144,344
145,339
146,339
147,331
148,333
149,333
150,345
151,351
152,355
153,356
154,356
155,355
156,355
157,358
158,355
159,351
160,346
161,341
162,341
163,341
164,330
165,336
166,342
167,348
168,353
169,355
171,356
172,355
173,355
174,355
175,358
176,353
177,349
178,344
179,337
180,334
181,331
182,331
183,331
184,346
185,349
186,352
187,353
188,351
189,353
190,355
191,357
192,355
193,352
194,347
195,342
196,336
197,334
198,334
199,342
200,347
201,352
202,355
203,356
204,355
205,354
206,354
207,354
208,355
209,350
210,345
211,340
212,334
214,334
215,334
216,337
217,344
218,349
219,352
220,355
221,355
222,353
223,353
224,358
225,356
226,352
227,347
228,342
229,336
230,331
231,331
232,337
233,343
234,349
235,353
236,355
237,356
238,356
239,354
240,356
241,356
242,352
243,348
244,343
245,337
246,332
247,332
248,336
249,342
250,348
251,354
252,357
253,358
254,356
256,355
257,357
258,358
259,354
260,349
261,344
262,338
263,338
264,338
265,332
266,332
267,346
268,351
269,354
270,357
271,356
272,356
273,356
274,356
275,356
276,352
277,347
278,341
279,335
280,331
281,331
282,331
283,342
284,346
285,348
286,350
287,350
288,349
289,349
290,353
291,354
292,351
293,348
294,348
295,348
296,335
297,335
299,340
300,345
301,350
302,354
303,356
304,356
305,355
306,353
307,354
308,355
309,352
310,347
311,343
312,338
313,338
314,331
315,335
316,342
317,347
318,352
319,354
320,355
321,353
322,352
323,352
324,356
325,352
326,348
327,343
328,338
329,338
330,330
331,330
332,340
333,346
334,352
335,355
336,356
337,356
338,355
339,355
340,358
342,355
343,350
344,346
345,340
346,335
347,330
348,330
349,336
350,343
351,348
352,352
353,355
354,355
355,354
356,354
357,360
358,358
359,353
360,349
361,344
362,338
363,338
364,331
365,335
366,341
367,345
368,348
369,350
370,350
371,349
372,349
373,352
374,355
375,353
376,350
377,346
378,342
379,342
380,335
381,338
382,344
384,348
385,352
386,354
387,354
388,351
389,350
390,351
391,353
392,351
393,348
394,343
395,340
396,335
397,332
398,334
399,341
400,347
401,352
402,354
403,355
404,354
405,352
406,351
407,354
408,353
409,349
410,345
411,345
412,345
413,345
414,330
415,330
416,345
417,348
418,352
419,353
420,353
421,351
422,353
423,353
424,354
425,351
427,348
428,343
429,338
430,338
431,338
432,338
433,343
434,348
435,352
436,353
437,353
438,351
439,351
440,351
441,355
442,351
443,347
444,344
445,344
446,344
447,332
448,332
449,342
450,347
451,349
452,351
453,350
454,348
455,348
456,348
457,351
458,351
459,348
460,345
461,345
462,345
463,345
464,345
465,343
466,348
467,350
468,352
470,352
471,349
472,349
473,349
474,350
475,350
476,347
477,344
478,341
479,337
480,333
481,338
482,338
483,338
484,352
485,354
486,355
487,353
488,350
489,349
490,351
491,352
492,349
493,345
494,341
495,337
496,337
497,337
498,336
499,345
500,349
501,351
502,352
503,351
504,349
505,347
506,347
507,347
508,349
509,346
510,343
512,339
513,337
514,335
515,337
516,337
517,351
518,354
519,355
520,355
521,353
522,353
523,350
524,350
525,349
526,345
527,342
528,337
529,337
530,337
531,332
532,340
533,348
534,352
535,355
536,356
537,355
538,355
539,351
540,352
541,352
542,348
543,344
544,340
545,340
546,340
547,331
548,336
549,344
550,349
551,353
552,355
553,355
555,352
556,351
557,353
558,355
559,351
560,347
561,343
562,338
563,338
564,338
565,335
566,335
567,348
568,351
569,353
570,353
571,350
572,350
573,350
574,353
575,351
576,348
577,344
578,340
579,340
580,340
581,340
582,341
583,347
584,351
585,352
586,352
587,350
588,348
589,348
590,352
591,351
592,348
593,345
594,340
595,337
596,333
598,335
599,335
600,335
601,352
602,354
603,355
604,354
605,351
606,351
607,352
608,353
609,349
610,345
611,340
612,336
613,332
614,331
615,335
616,344
617,347
618,350
619,351
620,351
621,349
622,349
623,349
624,349
625,350
626,348
627,344
628,340
629,340
630,337
631,337
632,344
633,350
634,353
635,354
636,354
637,352
638,352
640,352
641,353
642,351
643,347
644,343
645,339
646,339
647,332
648,334
649,341
650,348
651,352
652,354
653,354
654,352
655,352
656,350
657,350
658,352
659,348
660,345
661,341
662,336
663,336
664,336
665,336
666,346
667,350
668,351
669,352
670,351
671,348
672,347
673,347
674,351
675,349
676,346
677,342
678,339
679,339
680,334
681,338
683,346
684,351
685,354
686,354
687,353
688,351
689,349
690,349
691,352
692,350
693,347
694,343
695,339
696,335
697,335
698,334
699,343
700,347
701,349
702,350
703,349
704,347
705,348
706,345
707,345
708,349
709,347
710,345
711,345
712,345
713,345
714,345
715,344
716,351
717,353
718,355
719,354
720,352
721,349
722,348
723,349
724,350
726,347
727,343
728,340
729,340
730,340
731,332
732,338
733,346
734,351
735,354
736,355
737,354
738,351
739,350
740,351
741,352
742,350
743,346
744,342
745,338
746,338
747,332
748,332
749,332
750,348
751,351
752,353
753,353
754,351
755,350
756,351
757,353
758,352
759,349
760,345
761,341
762,341
763,341
764,333
765,333
766,348
768,352
769,354
770,355
771,354
772,351
773,351
774,354
775,353
776,349
777,345
778,341
779,341
780,332
781,332
782,337
783,337
784,348
785,351
786,351
787,351
788,349
789,349
790,349
791,353
792,350
793,346
794,343
795,339
796,339
797,333
798,333
799,344
800,348
801,351
802,352
803,351
804,349
805,348
806,348
807,348
808,350
809,347
811,345
812,340
813,336
814,336
815,336
816,344
817,349
818,351
819,353
820,353
821,351
822,349
823,349
824,349
825,351
826,348
827,345
828,342
829,342
830,333
831,334
832,340
833,348
834,349
835,350
836,350
837,348
838,348
839,348
840,349
841,350
842,349
843,346
844,343
845,340
846,340
847,335
848,339
849,347
850,350
851,352
852,353
854,352
855,349
856,349
857,349
858,352
859,349
860,346
861,343
862,339
863,335
864,335
865,336
866,343
867,349
868,352
869,354
870,353
871,351
872,349
873,350
874,352
875,350
876,348
877,344
878,340
879,340
880,333
881,333
882,341
883,348
884,351
885,353
886,353
887,352
888,350
889,350
890,350
891,352
892,348
893,345
894,341
896,337
897,333
898,333
899,339
900,339
901,349
902,352
903,353
904,351
905,349
906,349
907,351
908,353
909,350
910,347
911,343
912,339
913,339
914,334
915,334
916,344
917,348
918,350
919,350
920,349
921,347
922,346
923,347
924,351
925,349
926,346
927,343
928,340
929,340
930,334
931,335
932,335
933,349
934,352
935,354
936,355
937,353
939,350
940,351
941,353
942,351
943,348
944,343
945,340
946,340
947,340
948,340
949,339
950,347
951,350
952,352
953,352
954,352
955,349
956,350
957,352
958,353
959,350
960,347
961,342
962,338
963,338
964,333
965,333
966,346
967,349
968,351
969,351
970,350
971,348
972,348
973,350
974,352
975,349
976,346
977,343
978,340
979,336
980,334
982,334
983,345
984,349
985,351
986,352
987,351
988,348
989,348
990,348
991,355
992,350
993,347
994,344
995,341
996,341
997,335
998,335
999,344
1000,350
1001,352
1002,353
1003,353
1004,350
1005,348
1006,348
1007,348
1008,350
1009,346
1010,343
1011,343
1012,343
1013,343
1014,343
1015,340
1016,348
1017,351
1018,353
1019,353
1020,352
1021,349
1022,349
1024,349
1025,351
1026,348
1027,344
1028,341
1029,337
1030,333
1031,333
1032,337
1033,345
1034,348
1035,350
1036,350
1037,349
1038,346
1039,344
1040,347
1041,347
1042,348
1043,345
1044,342
1045,339
1046,339
1047,339
1048,339
1049,339
1050,350
1051,352
1052,352
1053,350
1054,348
1055,348
1056,348
1057,348
1058,348
1059,346
1060,343
1061,339
1062,339
1063,334
1064,335
1065,343
1067,349
1068,352
1069,354
1070,353
1071,352
1072,351
1073,348
1074,348
1075,351
1076,347
1077,344
1078,341
1079,337
1080,337
1081,337
1082,337
1083,337
1084,350
1085,353
1086,354
1087,352
1088,350
1089,348
1090,349
1091,352
1092,348
1093,345
1094,341
1095,337
1096,333
1097,332
1098,336
1099,344
1100,349
1101,353
1102,354
1103,355
1104,352
1105,352
1106,352
1107,354
1108,351
1110,347
1111,342
1112,338
1113,333
1114,333
1115,333
1116,340
1117,346
1118,348
1119,350
1120,350
1121,349
1122,348
1123,349
1124,352
1125,353
1126,350
1127,347
1128,347
1129,339
1130,339
1131,339
1132,339
1133,347
1134,351
1135,353
1136,354
1137,353
1138,350
1139,350
1140,351
1141,352
1142,349
1143,346
1144,342
1145,342
1146,333
1147,332
1148,332
1149,343
1150,346
1152,349
1153,349
1154,349
1155,347
1156,346
1157,346
1158,351
1159,348
1160,345
1161,342
1162,338
1163,335
1164,335
1165,335
1166,346
1167,350
1168,352
1169,353
1170,352
1171,349
1172,348
1173,348
1174,348
1175,348
1176,345
1177,342
1178,342
1179,342
1180,342
1181,335
1182,342
1183,350
1184,353
1185,355
1186,355
1187,353
1188,350
1189,350
1190,352
1191,351
1192,347
1193,343
1195,340
1196,335
1197,335
1198,332
1199,337
1200,337
1201,351
1202,354
1203,356
1204,356
1205,353
1206,353
1207,355
1208,355
1209,351
1210,346
1211,341
1212,337
1213,331
1214,331
1215,333
1216,341
1217,346
1218,350
1219,352
1220,353
1221,352
1222,351
1223,353
1224,355
1225,353
1226,350
1227,346
1228,342
1229,336
1230,333
1231,334
1232,341
1233,345
1234,347
1235,348
1236,347
1238,346
1239,344
1240,346
1241,350
1242,349
1243,348
1244,346
1245,346
1246,346
1247,346
1248,342
1249,342
1250,350
1251,351
1252,352
1253,351
1254,349
1255,349
1256,345
1257,346
1258,348
1259,345
1260,343
1261,340
1262,337
1263,337
1264,334
1265,334
1266,347
1267,351
1268,354
1269,355
1270,354
1271,351
1272,349
1273,350
1274,352
1275,348
1276,345
1277,341
1278,336
1280,336
1281,332
1282,335
1283,342
1284,347
1285,350
1286,353
1287,352
1288,351
1289,349
1290,350
1291,353
1292,351
1293,347
1294,343
1295,340
1296,335
1297,335
1298,335
1299,335
1300,347
1301,350
1302,352
1303,353
1304,351
1305,349
1306,349
1307,352
1308,351
1309,348
1310,345
1311,345
1312,337
1313,337
1314,337
1315,338
1316,345
1317,348
1318,349
1319,350
1320,350
1321,347
1323,347
1324,347
1325,352
1326,349
1327,347
1328,343
1329,340
1330,340
1331,334
1332,338
1333,344
1334,347
1335,350
1336,350
1337,349
1338,347
1339,346
1340,346
1341,346
1342,349
1343,347
1344,344
1345,340
1346,340
1347,335
1348,335
1349,344
1350,347
1351,350
1352,352
1353,351
1354,350
1355,350
1356,350
1357,350
1358,350
1359,347
1360,344
1361,340
1362,340
1363,333
1364,333
1366,340
1367,346
1368,348
1369,350
1370,350
1371,349
1372,346
1373,346
1374,348
1375,350
1376,347
1377,345
1378,342
1379,338
1380,338
1381,334
1382,334
1383,334
1384,348
1385,349
1386,350
1387,349
1388,346
1389,347
1390,348
1391,351
1392,349
1393,347
1394,344
1395,341
1396,341
1397,341
1398,337
1399,342
1400,346
1401,347
1402,347
1403,346
1404,344
1405,342
1406,344
1408,344
1409,349
1410,348
1411,347
1412,345
1413,341
1414,341
1415,341
1416,343
1417,347
1418,348
1419,347
1420,346
1421,344
1422,344
1423,344
1424,346
1425,346
1426,345
1427,345
1428,343
1429,343
1430,343
1431,343
1432,340
1433,346
1434,348
1435,350
1436,350
1437,348
1438,347
